,title,rating,score_num,comment_num,ratio,id
0,女心理师,5.2,216338,104723,0.484,30313647
1,我的奇怪朋友,6.3,27195,12470,0.459,27591191
2,超星星学园,4.5,80288,29401,0.366,26765418
3,相爱穿梭千年2：月光下的交换,4.6,14477,5788,0.4,26615597
4,沉香如屑·沉香重华,5.9,522432,320607,0.614,35029547
5,招摇,6.0,67673,26825,0.396,27075195
6,烈火军校,6.6,56349,21084,0.374,30157168
7,蓝色生死恋,2.8,15663,5701,0.364,26971645
8,从前有座灵剑山,7.0,84427,37581,0.445,26877434
9,天舞纪,5.4,24720,10380,0.42,26926450
10,骊歌行,4.9,37221,19201,0.516,30400625
11,1921,6.7,164834,72990,0.443,35125443
12,千古玦尘,5.3,145230,74677,0.514,26811532
13,你微笑时很美,3.2,412250,213417,0.518,30148173
14,尚食,5.5,30787,15103,0.491,30463682
15,爱的二八定律,5.9,134263,60209,0.448,35152536
16,下一站是幸福,5.9,195505,86052,0.44,30176770
17,少主且慢行 第一季,6.6,35832,12141,0.339,34463312
18,少主且慢行 第二季,6.6,24196,6205,0.256,34972208
19,刺杀小说家,6.5,638560,266317,0.417,26826330
20,月光变奏曲,6.9,100239,41963,0.419,35058573
21,苍兰诀,8.1,653387,307539,0.471,34779776
22,两个人的小森林,6.2,60361,25824,0.428,35431984
23,捉妖记2,4.9,354376,110649,0.312,26575103
24,哦！我的皇帝陛下 第一季,5.0,121361,42923,0.354,27135558
25,哦！我的皇帝陛下 第二季,4.8,57779,16708,0.289,34807445
26,斗破苍穹,4.4,113078,49946,0.442,26882446
27,陈情令,7.7,1688637,837539,0.496,27195020
28,素人特工,3.4,38201,12742,0.334,27155276
29,诛仙1,4.5,650575,340751,0.524,25779217
30,庆余年 第一季,7.9,991348,353423,0.357,25853071
32,狼殿下,6.1,349956,191609,0.548,26743567
33,斗罗大陆,6.3,838268,524141,0.625,30313969
34,余生，请多指教,6.0,298730,170935,0.572,30403219
35,有翡,5.6,365768,180982,0.495,27069428
36,理想照耀中国,8.2,39964,15173,0.38,35209733
37,风起洛阳,6.3,226379,103875,0.459,33442334
38,冰雨火,7.3,164681,92972,0.565,34908108
39,无名,6.7,584523,302418,0.517,35372742
40,西游记女儿国,4.4,155398,59813,0.385,25829175
41,延禧攻略,7.1,400331,141485,0.353,26999852
42,解放·终局营救,4.4,11312,4928,0.436,30454698
43,三生三世枕上书,6.8,342031,153669,0.449,26915522
44,最动听的事,6.0,12007,3385,0.282,27663766
45,烈火如歌,5.9,88225,34222,0.388,26703476
46,解忧杂货店,5.0,191506,62447,0.326,26654146
47,21克拉,4.5,70166,23244,0.331,26691361
48,一千零一夜,5.3,106266,39333,0.37,27088995
49,幸福，触手可及！,5.0,116610,41995,0.36,27073044
50,你是我的荣耀,6.9,456197,201528,0.442,33454980
51,与君初相识·恰似故人归,5.7,203595,114154,0.561,35235410
52,天雷一部之春花秋月,6.2,38838,13634,0.351,30258233
53,三千鸦杀,5.3,66918,27728,0.414,27611494
54,传闻中的陈芊芊,7.3,357777,142205,0.397,34463197
55,我，喜欢你,6.5,85320,32671,0.383,34908020
56,长歌行,6.0,306266,145621,0.475,26926445
57,一不小心捡到爱,4.3,20867,7869,0.377,35082299
58,国子监来了个女弟子,3.8,49207,23083,0.469,35131244
59,且试天下,5.7,129138,66872,0.518,26339609
60,星汉灿烂·月升沧海,7.7,525019,239400,0.456,35452438
61,胡同,5.8,20695,10034,0.485,35274947
62,听见她说,8.0,33029,12354,0.374,35164015
63,暴风眼,5.5,61678,32784,0.532,30476726
64,斛珠夫人,4.8,122808,64029,0.521,26798457
65,谢谢你医生,6.3,82216,41184,0.501,34454212
66,你和我的倾城时光,5.5,64510,25468,0.395,26386688
67,知否知否应是绿肥红瘦,7.8,501851,195546,0.39,26928226
68,谁是凶手,6.2,202938,83434,0.411,35180907
69,幸福到万家,7.1,243179,133022,0.547,34951002
70,风吹半夏,8.2,352205,134742,0.383,35161592
71,热血同行,6.8,73117,34587,0.473,27145093
72,冷血狂宴,3.8,48050,22185,0.462,26673282
73,送你一朵小红花,7.2,733631,277679,0.378,35096844
74,中国医生,6.9,240413,94612,0.394,35087699
75,长津湖,7.4,732140,256744,0.351,25845392
76,奇迹·笨小孩,7.4,540284,207305,0.384,35312437
77,长津湖之水门桥,7.2,343905,110806,0.322,35613853
78,少年的你,8.2,1439921,487074,0.338,30166972
79,满江红,7.1,849597,361653,0.426,35766491
80,世间有她,5.2,35028,19279,0.55,35187381
